Station,Show,Snippet
BBCNEWS,Newsday,escap safe two need minor treatement hospit good extraordinari pictur climat expert warn time run tackl global warm greenhous gase reach
BBCNEWS,Outside Source,futur deal within grasp determin deliv determin scientist warn window opportun tackl climat chang close level greenhous gase reach
BBCNEWS,Asia Business Report,xijinp programm bbc news top stori hour new warn climat chang un say global greenhous ga
BBCNEWS,BBC News,climat chang look like recent yea rs climat chang look like recent year california seen bigger deadlier destruct wildfir ever cold snap washington week presid trump tweet whatev happen global warm
BBCNEWS,The Briefing,tackl global warm ahead summit argentina also un climat chang confer poland next week socal cop urg polit leader make reduc climat chang prioriti
BBCNEWS,BBC News,past year research world meteorolog rganiz say four hottest past four year expert calcul reduc emiss greenhous gase wont
BBCNEWS,HARDtalk,top stori greenhous ga emiss reach record high last year new un report say effort tackl climat chang way track warn global temperatur rise danger level unless countri radic revis target cut greenhous gase indonesian author set releas preliminari find
BBCNEWS,Afternoon Live,wonder solut act gase especi carbon dioxid stay atmospher thousand yea rs year noth sinc concentr greenhous gase
BBCNEWS,BBC News at Five,typic temperatur bright sunni spell shower affect easter mari scotland latest weather easter area hotter summer wetter winter rise sea level met offic issu stark warn futur greenhous gase arent cut
BBCNEWS,Newsday,relationship french partner renault im rico hizon singapor also programm ten referenda mid term elect choic lie ahead peopl taiwan weekend amount greenhous gase atmospher record high scientist say window opportun tackl climat chang close
BBCNEWS,Outside Source,real fight happen donald trump long sceptic whether climat chang happen outdid today say brutal extend cold blast could shatter record whatev happen global warm well could start report intergovernment panel climat chang warn
BBCNEWS,Asia Business Report,your watch bbc news top stori greenhous ga emiss reach record high last year new un report say effort tackl climat chang way track warn global temperatur rise danger level unless countri radic revis target cut greenhous gase indonesian author set releas preliminari find boe max jet plummet java sea kill
BBCNEWS,Sport Today,global resurg measl tackl climat chang reduc greenhous ga emiss enough
BBCNEWS,BBC News,someth peopl southeast havent experienc know could potenti even greater impact scientist say substanti reduct global greenhous ga
BBCNEWS,BBC News,that someth peopl southeast havent experienc know could potenti even greater impact scientist say substanti sustain reduct global greenhous ga emiss
BBCNEWS,Breakfast,extrem extr es extrem heat flood extr es extrem weather way prepar also limit prepar must limit adapt put place also make sure tackl climat chang headon reduc greenhous ga emiss good news look thing need respond climat chang
BBCNEWS,BBC News,weve season someth peopl southeast havent experienc could potenti even greater impact scientist say substanti sustain reduct global greenhous ga emiss
BBCNEWS,BBC News,within next year activist say anoth exampl increas threat pose global warm
BBCNEWS,BBC News at 9,carbon captur technolog could see plant becom carbon neutral carbon neg take even co air reduc relianc fossil fuel way uk cut greenhous ga emiss
