Station,Show,Snippet
CNN,CNN Newsroom,join christin roman strong view climat chang vocal carol senat democrat tri stir base talk liber want talk that climat chang
CNN,New Day,realli odd guess folk watch night cspan someth legisl movement think around climat chang epa
CNN,CNNI Simulcast,build world that better prepar deal climat chang fundament better world minut well talk lead author un panel report climat
CNN,CNNI Simulcast,week ago wall mud smash town northern washington peopl still report miss unit nation say time run reduc effect climat chang
CNN,Piers Morgan Live,extrem climat chang argument tend follow familiar pattern scientist say clear scienc global warm climat chang
CNN,Wolf,vote conclud continu eastern senat use time speak senat floor throughout night urg action barbara boxer california said anyon concern climat chang
CNN,Piers Morgan Live,wild weather extrem climat chang argument tend follow familiar pattern scientist say clear scienc global warm climat chang
CNN,Early Start With John Berman and Christine Romans,warn greenhous gase rein world food suppli could jeopardi coastal commun put risk earli start continu right earli start continu right
CNN,Early Start,militari instead use billion budget expand cyber warfar capabl develop hightech weapon cut controversi light what happen ukrain meanwhil final new rule aim reduc greenhous gase come car
CNN,Early Start With John Berman and Christine Romans,detail rise ocean melt arctic ice dwindl water suppli warn greenhous gase rein world food suppli could jeopardi coastal commun put risk right four kentucki punch ticket
CNN,CNNI Simulcast,diminish land possibl speci extinct report urg govern reduc greenhous ga emiss reduc risk late
CNN,CNNI Simulcast,live climat chang felt world accord new report releas un panel climat chang report also look ahead predict big problem
CNN,CNNI Simulcast,extrem weather condit across globe report predict massiv problem ahead biggest threat due climat chang think report say first climat chang alreadi actual alreadi see
CNN,CNNI Simulcast,presid convict could sentenc life prison face death penalti seriou charg un say make mistak global warm pose increasingli clear threat
CNN,Your Money,chipotl say global warm may rais ingredi price could forc chain cut back salsa guacamol great american gun grab roll smith wesson say handgun sale jump last quarter fdi said total sale
CNN,CNNI Simulcast,unequivoc climat chang experienc impact natur world predomin caus human
CNN,New Day,year come climat chang worst yet come that headlin new report say eye cap
CNN,Early Start,floor two dozen senat democrat pull allnight effort get congress wake danger global warm kind filibust senat conced right climat bill would almost certainli fail marathon speech fest
