Station,Show,Snippet
FOXNEWS,Fox and Friends Saturday,pete averag good get last minut trend realli matter good see socialist bronx say global warm
FOXNEWS,The Five,ceo salari talk guarante hous right talk univers prek univers colleg california experi guarante incom carbon tax
FOXNEWS,The Five,label guilti proven innoc corrobor thing alreadi talk think littl bit unafraid court controversi first column new york time basic say global warm
FOXNEWS,FOX  Friends,question mani peopl thought aw interrupt steve use question brian point subject matter brian believ global warm that fine man role climat
FOXNEWS,The Journal Editorial Report,washington would start per ton carbon ipcc note week need carbon even anyth reduc climat chang
FOXNEWS,Shepard Smith Reporting,tech basket culprit seen drop earlier chang around shep back shepard right thank much appreci see soon enorm new studi climat chang
FOXNEWS,Fox and Friends Saturday,emili dont believ anyth say u pete name axi power even know histori listen perfect expos left obsess global climat chang u
FOXNEWS,Americas News HQ,per ton carbon ipcc note would need carbon tax anyth reduc climat chang anoth redistribut mechan
FOXNEWS,Tucker Carlson Tonight,cant say left increasingli number issu immigr one side virtuou moral side evil side that true gay marriag climat chang that true
FOXNEWS,Tucker Carlson Tonight,cant say left increasingli number issu immigr one side virtuou moral side evil side that true gay marriag that true climat chang
FOXNEWS,Americas Newsroom With Bill Hemmer and Sandra Smith,manag hurrican realli irrespons peopl run around attack global warm polici answer global warm respons
FOXNEWS,Americas News HQ,paul allysia miss exxon mobil donat million promot carbon tax well bill gate endors carbon tax washington state washington would start
FOXNEWS,Fox and Friends Saturday,say global warm like nazi germani realli
FOXNEWS,FOX  Friends,panhandl florida first question wasnt feder respons wasnt emerg prepared global climat chang ainsley climat chang ask jamal saudi arabia guy
FOXNEWS,FOX  Friends,brian start talk climat chang listen close hear agenda listen still think climat chang hoax dont think motion jamal saudi
FOXNEWS,Shepard Smith Reporting,research climat chang impact economi work two scientist help us understand address press issu includ climat chang journalist credit size govern believ dead that accord offici countri
FOXNEWS,The Journal Editorial Report,whole lot bad blood paul right miss exxon mobil donat million campaign promot carbon tax well bill gate referendum washington state
FOXNEWS,Justice With Judge Jeanine,colbi help stave global warm im robert gray back justic judg jeanin back judg presid trump fact
FOXNEWS,Fox and Friends First,caus global warm barley main ingredi beer could like substanti drop sever drought heat extrem would becom frequent climat chang
FOXNEWS,Special Report With Bret Baier,bret report unit nation say global warm singl degre fahrenheit mean life death mani peopl ecosystem that gray target world leader alreadi set intergovernment panel
FOXNEWS,Americas Newsroom With Bill Hemmer and Sandra Smith,bill ocasiocortez made comment climat chang compar nazism direct threat anoth nation nazi
