Station,Show,Snippet
MSNBC,Countdown With Keith Olbermann,god sake compar global warm nazi germani hitler plan enemi jew al gore enemi un enemi global warm
MSNBC,Countdown With Keith Olbermann,global warm nazi germani hitler plan enemi jew al gore enemi un enemi global warm im accus al gore nazi anyth like
MSNBC,MSNBC News Live,got get away coal number one greenhous gase number two worldwid million ton mercuri vapor releas circul stratospher month later rain
MSNBC,Countdown With Keith Olbermann,nation endow art advoc art known propaganda look name gurbl teach climat
MSNBC,Andrea Mitchell Reports,carbon tax piec youv got economi come recess especi area countri peopl resist carbon tax sell tough
MSNBC,Countdown With Keith Olbermann,nuremberg ralli histori channel god sake god sake compar global warm nazi germani hitler plan
MSNBC,Morning Joe,reduc greenhous ga emiss think consum friendli busi friendli bill today chief execut major compani america know boil support peopl dupont dow
MSNBC,Countdown With Keith Olbermann,enemi jew al gore enemi un enemi global warm im accus al gore nazi anyth like ye
MSNBC,Andrea Mitchell Reports,chair select committe energi independ global warm thank much heard mr dudley bp say full forens investigatiinvestigati
MSNBC,Meet the Press,im thrill new set thank much lot import issu talk what certainli headlin weekend oil spill coast louisiana mississippi becom bigger issu even nation secur issu appli climat
MSNBC,Countdown With Keith Olbermann,question suppli countdown earlier join congressman oregon vice chair energi independ global warm alway pleasur keith know whether two new rig oper
MSNBC,The Rachel Maddow Show,stay necessarili domest goe world market bottom line keep chase th centuri fossil fuel creat global warm problem begin transfer energi need new
MSNBC,The Ed Show,markey chairman hous select committe energi independ global warm congressman markey learn far investig legal term appli weve discov
MSNBC,The Rachel Maddow Show,goe world market bottom line keep chase th centuri fossil fuel creat global warm problem begin transfer energi need new renew energi sourc
MSNBC,Morning Joe,name environment group would there huge concern global warm nuclear doesnt leav global footprint pull think john right conserv movement find
MSNBC,Hardball Weekend,bittersweet last that right senat bill nelson join us cape canaver florida turn democrat congressman ed marki chairman energi dpep dens global warm wheel hous
MSNBC,Andrea Mitchell Reports,legisl cap trade combat global warm that one reason he hot water he ethic controversi swirl around somebodi who definit got back
MSNBC,Meet the Press,issu appli climat chang issu youv dealt administr approach particularli given presid interest
MSNBC,Morning Joe,keep two piec togeth deal new energi idea get extra shore offshor product go still deal carbon tax want get restrict carbon
MSNBC,The Rachel Maddow Show,buy vote pass bill subsidi coal subsidi nuclear nowher near enough money energi effici sustain energi whether even get global warm bill remain seen agenda tight
MSNBC,Countdown With Keith Olbermann,includ cost societi there enorm amount pollut danger global warm spill like one nation academi scienc put estim oil cent per gallon ye true
MSNBC,Countdown With Keith Olbermann,advoc art known propaganda look name gerbil teach kid climat chang believ road hitler youth
MSNBC,Countdown With Keith Olbermann,obvious public opinion offshor drill today news offshor drill go surviv kerrylieberman climat chang bill dont know bill
MSNBC,MSNBC News Live,see democrat dont get immigr reform year dont think never get next congress dont get cap trade carbon tax
MSNBC,Hardball With Chris Matthews,chairman select committe energi independ global warm want focu miner manag agenc saw report today scientist new york time quot said ran problem last year
MSNBC,Hardball With Chris Matthews,bittersweet last that right right senat bill nelson join us cape canaver florida turn democrat congressman ed markey massachusett chairman select committe energi independ global warm go right
MSNBC,Countdown With Keith Olbermann,big pictur though obvious public opinion offshor drill today news offshor drill go surviv kerrylieberman climat chang bill dont know bill
MSNBC,Countdown With Keith Olbermann,societi there enorm amount pollut danger global warm spill like one nation academi scienc put estim oil cent per gallon ye true made oil reflect true cost either us
MSNBC,Morning Joe,right energi polici thing dont talk need kind carbon tax would fund research solar greej energi behind know maria chines
MSNBC,Countdown With Keith Olbermann,nation endow art advoc art known propaganda look name gerbil teach kid climat chang may believ road hitler youth
MSNBC,MSNBC News Live,interest look beyond immedi selfinterest look one anoth global mani today challeng borderless economi terror climat chang solv
MSNBC,Morning Joe,long await climat chang bill time everyth time morn good let ask cours there back forth white hous gay lesbian group
