Station,Show,Snippet
MSNBC,The Rachel Maddow Show,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change
MSNBC,Hardball With Chris Matthews,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change
MSNBC,Morning Joe,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change
MSNBC,MSNBC Live,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change
MSNBC,The Beat With Ari Melber,office depot office californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change
MSNBC,Deadline White House,say nra yes common sense gun law californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change
MSNBC,Morning Joe,facing major lawsuit climate change going believe plaintiff 21 kid across nation seeking end use fossil fuel contributing global warming want hold federal government accountable nbc tammy litner sat
MSNBC,Morning Joe,know climate change many adult worry basically every day reporter worried rising sea level could mean home along florida coast could disappear completely climate change stop probably
MSNBC,The 11th Hour With Brian Williams,shut started birther movement say climate change hoax invented china remember
MSNBC,All In With Chris Hayes,starting 7 99 republican congressman mo brook alabama well known climate change skeptic took
MSNBC,MSNBC Live With Yasmin Vossoughian,cooperating know believe climate change storm comin baby one night truck stop
MSNBC,The 11th Hour With Brian Williams,gina huge gina bully shut started birther movement say climate change hoax invented china pronounced jina
MSNBC,Morning Joe,republican myou conservative yes acu rating idea talked ant marriage equality climate change gun control
MSNBC,MSNBC Live With Ayman Mohyeldin,resignation solved north south korea solve u sorry donald late know believe climate change storm
MSNBC,MSNBC Live With Alex Witt,solved north south korea solve u sorry donald late know believe climate change storm
MSNBC,All In With Chris Hayes,date deal done tripadvisor visit tripadvisor com republican congressman mo brook alabama well known climate change skeptic took new level yesterday white cliff
MSNBC,MSNBC Live With Craig Melvin,sorry donald late know believe climate change storm comin baby applause best egg taste farm fresh delicious
MSNBC,MSNBC Live With Yasmin Vossoughian,europe effect issue like climate change different european ally tpp another issue white house separating u
MSNBC,All In With Chris Hayes,climate change world supply fresh water hets hardball chris hayes start right tonight know 130000 payment stormy
MSNBC,Hardball With Chris Matthews,climate change world supply fresh water hets hardball chris hayes start right tonight know 130000 payment stormy
MSNBC,Morning Joe,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,MSNBC Live With Stephanie Ruhle,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,Morning Joe,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,Morning Joe,going face real challenge life climate change debt disappearance job get involved could make difference get involved become first informed citizen
MSNBC,Morning Joe,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,MSNBC Live With Hallie Jackson,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,Morning Joe,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,Andrea Mitchell Reports,solved north south korea solve u sorry donald late know believe climate change storm coming baby good day everybody
MSNBC,First Look,solve north south korea solve u sorry donald late know believe climate change storm coming baby starting
MSNBC,All In With Chris Hayes,vatican climate change skeptic happens ask document cabinet secretary schedule happens week later subject suspected criminal charge australia back agency
MSNBC,All In With Chris Hayes,latest one may take case six figure trip italy last year pruitt dinnered five star restaurant cardinal climate change skeptic
MSNBC,MSNBC Live With Ali Velshi,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,The 11th Hour With Brian Williams,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,All In With Chris Hayes,led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content advertising
MSNBC,All In With Chris Hayes,coming next republican congressman revolutionary climate change idea plus exclusive video want miss hear one richest men earth talking like meeting president trump
MSNBC,All In With Chris Hayes,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,Deadline White House,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,MSNBC Live With Hallie Jackson,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,MSNBC Live With Alex Witt,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,MSNBC Live With Ali Velshi,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,Andrea Mitchell Reports,trump opposition climate change policy challenged court tammy leitner story 20 kid taking matter hand trying make world better place everyone
MSNBC,Andrea Mitchell Reports,child fundamental right protected climate change case government ironically defense reporter legal analyst david hackett surprised case made far plaintiff bucked odds
MSNBC,MSNBC Live With Stephanie Ruhle,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,MSNBC Live With Katy Tur,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare
MSNBC,All In With Chris Hayes,led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content advertising
MSNBC,MSNBC Live With Alex Witt,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,Kasie DC,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,Dateline Extra,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,Hardball With Chris Matthews,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california
MSNBC,Richard Engel on Assignment,passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive
MSNBC,MSNBC Live With David Gura,1000 half candidate medicare literature democratic party platform includes 15 minimum wage call substantial action climate change seen 15 minimum wage moving around country
MSNBC,Hardball With Chris Matthews,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare
MSNBC,The 11th Hour With Brian Williams,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,The 11th Hour With Brian Williams,senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,MSNBC Live With Craig Melvin,equivalent climate change extreme weather one day 90 degree one day 40 degree one favorite movie armageddon big 90 blockbuster asteroid everything flying
MSNBC,Deadline White House,senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Andrea Mitchell Reports,seems intent tearing something president obama built paris climate change transpacific partnership tear major international agreement suggests nothing put place weak leadership
MSNBC,The 11th Hour With Brian Williams,say climate change hoax invented china remember good fun long ago came president weekend president xi china working together give massive
MSNBC,All In With Chris Hayes,involving scott pru kit latest one may take case six figure trip italy last year pruitt dinnered five star restaurant cardinal climate change skeptic
MSNBC,All In With Chris Hayes,new york time reporting infamous six figure trip ittelly last year dinner five star restaurant roman catholic cardinal climate change skeptic also
MSNBC,All In With Chris Hayes,roman catholic cardinal vatvatican climate change skeptic happens ask document cabinet secretary schedule well happens week later criminally subject
MSNBC,MSNBC Live With Alex Witt,sorry donald late know believe climate change storm coming baby different perspective alex smart strategy stormy daniel come play part
MSNBC,AM Joy,hard anything else north south korea solve u sorry donald late ta know believe climate change storm acoming baby
MSNBC,All In With Chris Hayes,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,The Last Word With Lawrence ODonnell,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,All In With Chris Hayes,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,MSNBC Live With Katy Tur,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,Morning Joe,state cannot stop passing net neutrality bill stop adopting clean energy policy fight climate change cannot stop u largest infrastructure package state hess
MSNBC,MSNBC Live,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,All In With Chris Hayes,congressman revolutionary climate change idea plus exclusive video want miss hear one richest men earth talking like meeting president trump time wanted know difference
MSNBC,The 11th Hour With Brian Williams,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,Dateline Extra,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,The 11th Hour With Brian Williams,senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Morning Joe,right protected climate change case government ironically defense team reporter surprised case made far highly unlikely case become personal cause
MSNBC,MSNBC Live With Velshi and Ruhle,senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Andrea Mitchell Reports,pet hermit crab reporter lehigh seems like 10 year old precocious science geek know climate change many adult worry basically every day reporter worried rising sea level could mean home
MSNBC,Andrea Mitchell Reports,along florida coast could disappear completely climate change stop probably little beach stake case reporter levigh 20 others across country decided something
MSNBC,The Last Word With Lawrence ODonnell,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,MSNBC Live With Craig Melvin,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,MSNBC Live With Velshi and Ruhle,helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león true progressive senate change california responsible content
MSNBC,Deadline White House,iran climate change trade criticism even president putin know reluctant always criticize president trump public directly criticize joined
MSNBC,AM Joy,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,MSNBC Live With Yasmin Vossoughian,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,PoliticsNation With Al Sharpton,democratic mayor independent mayor republican mayor san diego miami leading climate change mayor atlanta fantastic work putting exoffenders back work mayor houston mentioned earlier amazing work creating small business
MSNBC,MSNBC Live With Alex Witt,skeptical good reason last year numerous headline relied noncredible source new york time printed false headline front cover administration secret climate change report cnn ran multiple
MSNBC,Dateline Extra,senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,MSNBC Live With Ayman Mohyeldin,kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal medicare democrat kevin de león
MSNBC,Deadline White House,toward peace north korea nicole many subject mentioned saw unified criticism without naming president trump iran climate change trade
MSNBC,Deadline White House,senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Andrea Mitchell Reports,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Morning Joe,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Hardball With Chris Matthews,need go away resignation solved north south korea solve u sorry donald late know believe climate change storm coming baby
MSNBC,Deadline White House,climate change storm coming baby imagine president must felt seeing saturday night paid fly wall watching woman responsible allegedly can posing secret hush money operation
MSNBC,All In With Chris Hayes,fascinating guy roman catholic cardinal vatvatican climate change skeptic happens ask document cabinet secretary schedule well happens week later criminally subject
MSNBC,Morning Joe,nato ally climate change trade issue iran deal saying seen kind difference crisis 50 iraq war 2003 despite difference able overcome
MSNBC,The 11th Hour With Brian Williams,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,MSNBC Live With Stephanie Ruhle,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,The Last Word With Lawrence ODonnell,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,MSNBC Live With Velshi and Ruhle,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,The Last Word With Lawrence ODonnell,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Deadline White House,whether obviously fact sacrificing potential transform economy great way also well next generation pulling climate change issue issue
MSNBC,The Beat With Ari Melber,californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,MSNBC Live With Hallie Jackson,woman said happen safeguard city acknowledge climate change real city going affected adversely rethink approach flooding know hallie jackson want ask question hallie
MSNBC,Deadline White House,cardiologist prescribed blood thinner californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Andrea Mitchell Reports,generation group kid leading fight climate change watching andrea mitchell report msnbc ow older brain naturally begin change may cause trouble recall learning great keep anncr thankfully prevagen help brain
MSNBC,Deadline White House,economy great way also well next generation pulling climate change issue issue able say america first psychic boost say still best world
MSNBC,MSNBC Live With Hallie Jackson,negotiate price drug californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,MSNBC Live With David Gura,negotiate price drug californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,The Last Word With Lawrence ODonnell,say nra yes common sense gun law californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,Morning Joe,ascendency rouhani foreign minister zarif taken united state united state kept word got watch know pattern president pulled u climate change agreement alternative pulled u
MSNBC,MTP Daily,5 time detail dna test californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
MSNBC,The Last Word With Lawrence ODonnell,say nra yes common sense gun law californian leading donald trump senator kevin de león candidate senate passed law protecting immigrant trump helped dreamer stay school led bold action climate change de león fought universal
